fico,dt_first_pi,flag_fthb,dt_matr,cd_msa,mi_pct,cnt_units,occpy_sts,cltv,dti,orig_upb,ltv,orig_int_rt,channel,ppmt_pnlty,amrtzn_type,st,prop_type,zipcode,id_loan,loan_purpose,orig_loan_term,cnt_borr,seller_name,servicer_name,flag_sc,id_loan_preharp,ind_afdl,ind_harp,cd_ppty_val_type,flag_int_only
810,202003,Y,205002,,30,1,P,95,21,45000,95,3.75,R,N,FRM,IL,SF,61400,F20Q10000036,P,360,01,Other sellers,Other servicers,,,9,,2,N
726,202003,N,205002,48300,000,1,P,80,39,370000,80,4,R,N,FRM,WA,PU,98800,F20Q10000037,P,360,01,Other sellers,Other servicers,,,9,,1,N
721,202003,N,203502,,000,1,P,52,32,45000,52,3.5,R,N,FRM,IA,SF,51300,F20Q10000038,C,180,02,Other sellers,Other servicers,,,9,,2,N
725,202003,N,205002,49660,000,1,P,80,30,124000,80,3.875,R,N,FRM,OH,SF,44400,F20Q10000039,P,360,02,Other sellers,Other servicers,,,9,,2,N
783,202003,N,203502,,000,1,S,70,29,243000,70,3.25,R,N,FRM,ME,SF,04200,F20Q10000040,N,180,02,Other sellers,Other servicers,,,9,,2,N
780,202003,N,205002,41180,000,1,P,65,26,254000,65,3.5,R,N,FRM,MO,SF,63300,F20Q10000041,N,360,02,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N
809,202003,N,205002,28140,12,1,P,84,24,163000,84,3.75,R,N,FRM,KS,SF,66000,F20Q10000042,N,360,01,Other sellers,Other servicers,,,9,,2,N
702,202003,N,205002,,000,1,P,80,41,202000,80,4.5,R,N,FRM,PA,SF,16900,F20Q10000043,C,360,02,Other sellers,Other servicers,,,9,,2,N
731,202003,N,205002,,000,1,P,49,48,120000,49,3.875,R,N,FRM,ME,SF,04600,F20Q10000044,C,360,01,Other sellers,Other servicers,,,9,,2,N
744,202003,N,205002,15540,30,1,P,88,43,219000,88,3.875,R,N,FRM,VT,SF,05400,F20Q10000045,N,360,02,Other sellers,Other servicers,,,9,,2,N
741,202003,N,205002,,000,1,P,31,49,510000,31,3.5,R,N,FRM,CO,SF,81200,F20Q10000046,C,360,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
732,202003,N,205002,,30,1,P,93,42,249000,93,3.75,R,N,FRM,OK,SF,74000,F20Q10000047,P,360,02,Other sellers,Other servicers,,,9,,2,N
671,202003,N,203502,34980,000,1,P,48,13,53000,48,3.375,R,N,FRM,TN,SF,37100,F20Q10000048,N,180,02,Other sellers,Other servicers,,,9,,2,N
779,202003,N,205002,13460,000,1,P,70,39,375000,70,3.75,R,N,FRM,OR,PU,97700,F20Q10000049,N,360,02,Other sellers,Other servicers,,,9,,1,N
803,202003,N,203502,45300,000,1,P,75,3,311000,75,3.25,R,N,FRM,FL,PU,33700,F20Q10000050,C,180,01,Other sellers,Other servicers,,,9,,2,N
638,202003,Y,203502,16984,000,1,P,69,43,133000,69,3.625,R,N,FRM,IL,SF,60600,F20Q10000051,P,180,02,Other sellers,Other servicers,,,9,,2,N
764,202004,N,205003,,12,1,P,84,22,209000,84,3.625,R,N,FRM,IL,SF,62800,F20Q10000052,N,360,02,Other sellers,FREEDOM MORTGAGE CORPORATION,,,9,,2,N
797,202003,N,205002,42644,000,1,P,59,32,214000,59,4.25,C,N,FRM,WA,MH,98000,F20Q10000053,N,360,01,Other sellers,Other servicers,,,9,,2,N
664,202003,N,205002,10540,000,1,P,35,34,68000,35,3.75,R,N,FRM,OR,SF,97300,F20Q10000054,N,360,01,Other sellers,Other servicers,,,9,,2,N
727,202003,N,205002,,000,1,P,80,44,332000,80,3.875,R,N,FRM,ND,SF,58800,F20Q10000055,C,360,01,Other sellers,Other servicers,,,9,,2,N
769,202003,N,205002,30700,30,1,P,95,35,446000,95,3.75,B,N,FRM,NE,PU,68500,F20Q10000056,N,360,02,Other sellers,Other servicers,,,9,,2,N
769,202003,N,205002,,000,1,P,80,43,216000,80,4,R,N,FRM,OK,SF,73000,F20Q10000057,N,360,02,Other sellers,Other servicers,,,9,,2,N
638,202003,N,205002,,000,1,P,67,25,220000,67,3.875,R,N,FRM,CO,SF,81200,F20Q10000058,N,360,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
799,202003,N,205002,30700,000,1,P,41,24,251000,41,3.875,B,N,FRM,NE,PU,68500,F20Q10000059,N,360,02,Other sellers,Other servicers,,,9,,2,N
